block,trt,year,plot,cover_exotics,invaded,seedling_density_ha,sapling_density_ha,ba_m2_ha,burned,treated,cover_native,nspp_native,nspp_exotic,rel_exotic_richness,rel_exotic_cover
2,Control,2022,2_12,0.25,1,7500,1380,10.609486801016528,unburned,0untreated,55.45833333,17,1,0.05555555555555555,0.004487658938189239
2,Control,2022,2_18,0,0,5500,3320,8.010473228088369,unburned,0untreated,28.250000003,15,0,0,0
2,Control,2022,2_22,0,0,5000,3260,5.801293928187252,unburned,0untreated,45.750000006,15,0,0,0
2,Control,2022,2_24,0,0,3500,1580,11.970300406880765,unburned,0untreated,44.041666667,17,0,0,0
2,Control,2022,2_26,0,0,4500,1540,5.100911590412488,unburned,0untreated,43.333333334,18,0,0,0
2,Control,2022,2_29,0,0,5500,1380,7.467834558639757,unburned,0untreated,31.166666668,16,0,0,0
2,Control,2022,2_33,0,0,9000,1040,23.248570141258917,unburned,0untreated,45.375000005,14,0,0,0
2,TRT: Thin + Burn,2002,2_2,0.083333334,1,3500,259.88934919999997,1.7065237916114695,burned,treated,22.958333335,20,2,0.09090909090909091,0.0036166365565957837
2,TRT: Thin + Burn,2002,2_5,0.291666667,1,0,219.9063724,0.38505771052408055,burned,treated,25.875,18,5,0.21739130434782608,0.011146496827883483
2,TRT: Thin + Burn,2002,2_9,0.083333334,1,7000,1159.5063272,0.824300466829607,burned,treated,27.374999998,22,2,0.08333333333333333,0.0030349013901321957
2,TRT: Thin + Burn,2002,2_12,0.166666667,1,4500,19.9914884,1.5814768308948586,burned,treated,38.583333334,24,3,0.1111111111111111,0.004301075277308359
2,TRT: Thin + Burn,2002,2_18,0,0,10000,179.92339560000002,1.9331504006627556,burned,treated,18.208333337,21,0,0,0
2,TRT: Thin + Burn,2002,2_22,0.083333334,1,2000,179.9233956,1.9519745835112274,burned,treated,41.333333332,23,2,0.08,0.0020120724507366127
2,TRT: Thin + Burn,2002,2_24,0,0,500,0,2.764740136083336,burned,treated,26.999999999,22,0,0,0
2,TRT: Thin + Burn,2002,2_26,0.375,1,0,819.6510244000001,1.7558855452002176,burned,treated,41.583333333,29,3,0.09375,0.008937437934529792
2,TRT: Thin + Burn,2002,2_29,0.041666667,1,2500,19.9914884,0.005743247771415083,burned,treated,25.708333334,19,1,0.05,0.0016181229902284223
2,TRT: Thin + Burn,2002,2_33,0.25,1,2500,559.7616752,1.1853582591103895,burned,treated,34.875000002,21,3,0.125,0.007117437722014666
2,TRT: Thin + Burn,2022,2_2,0.25,1,7500,1080,1.9019794455736079,burned,treated,50.833333335,20,1,0.047619047619047616,0.004893964110770181
2,TRT: Thin + Burn,2022,2_5,0.333333334,1,3000,360,0.9944083606540481,burned,treated,46.374999995,20,2,0.09090909090909091,0.00713648529593416
2,TRT: Thin + Burn,2022,2_9,0,0,7500,3500,1.0909209341977486,burned,treated,46.958333331,18,0,0,0
2,TRT: Thin + Burn,2022,2_12,1.666666667,1,7500,1320,2.097149654322522,burned,treated,55.791666667,21,1,0.045454545454545456,0.029006526473920158
2,TRT: Thin + Burn,2022,2_18,0,0,5500,1540,1.6061056294205474,burned,treated,35.541666666,19,0,0,0
2,TRT: Thin + Burn,2022,2_22,0.541666667,1,500,660,3.1330742477639584,burned,treated,83.083333327,19,2,0.09523809523809523,0.006477329351735293
2,TRT: Thin + Burn,2022,2_24,0,0,8000,1500,4.07095601107482,burned,treated,59.749999996,18,0,0,0
2,TRT: Thin + Burn,2022,2_26,1.333333333,1,0,1740,3.253746633911027,burned,treated,66.958333338,19,1,0.05,0.019524100054892916
2,TRT: Thin + Burn,2022,2_29,0.041666667,1,8500,1400,0.02412434307983187,burned,treated,57.499999994999996,21,1,0.045454545454545456,7.241129674736427e-4
2,TRT: Thin + Burn,2022,2_33,3.083333333,1,500,1460,2.1562368134600804,burned,treated,55.833333332,19,3,0.13636363636363635,0.052333804804875074
2,TRT: Thin,2002,2_2,0,0,8000,139.9404188,2.252033240433323,unburned,treated,24.166666666,19,0,0,0
2,TRT: Thin,2002,2_5,1.541666666,1,11000,2458.9530729999997,2.2859404159095975,unburned,treated,49.333333336,27,4,0.12903225806451613,0.030303030288735017
2,TRT: Thin,2002,2_9,0.125,1,14990,2598.8934922000003,1.2465814717765,unburned,treated,38.875000004,24,2,0.07692307692307693,0.003205128204799474
2,TRT: Thin,2002,2_12,0.041666667,1,1000,659.7191172,2.888359307725512,unburned,treated,28.291666674,25,1,0.038461538461538464,0.0014705882466608995
2,TRT: Thin,2002,2_18,0.541666667,1,5500,199.914884,3.9477602216818455,unburned,treated,19.791666667,24,2,0.07692307692307693,0.0266393442778151
2,TRT: Thin,2002,2_22,0.041666667,1,9000,579.7531636,1.486693818879811,unburned,treated,32.250000002,21,1,0.045454545454545456,0.0012903225908745056
2,TRT: Thin,2002,2_24,0.166666667,1,1000,559.7616752,2.74730095367773,unburned,treated,22.791666666,24,3,0.1111111111111111,0.007259528145295963
2,TRT: Thin,2002,2_26,0.125,1,5500,799.659536,0.5675213847221592,unburned,treated,44.333333329,27,2,0.06896551724137931,0.0028116213685964466
2,TRT: Thin,2002,2_29,3.625000001,1,1500,359.8467912,1.8916454280415693,unburned,treated,22.29166667,26,6,0.1875,0.1398713826518543
2,TRT: Thin,2002,2_33,0.083333333,1,5000,1599.3190718,2.749788887400099,unburned,treated,36.041666664,26,1,0.037037037037037035,0.0023068050659355134
2,TRT: Thin,2022,2_5,1.083333334,1,12500,3700,3.7796329910923654,unburned,treated,55.499999998,20,3,0.13043478260869565,0.019145802663190475
2,TRT: Thin,2022,2_9,4.166666667,1,16000,6360,2.1606462945448492,unburned,treated,38.333333327,22,1,0.043478260869565216,0.09803921570795848
2,TRT: Thin,2022,2_12,0,0,2500,720,5.292478545976709,unburned,treated,35.208333331,19,0,0,0
2,TRT: Thin,2022,2_22,0.291666667,1,9500,4280,2.336129228705895,unburned,treated,68.333333337,18,1,0.05263157894736842,0.004250151795744982
2,TRT: Thin,2022,2_24,0.291666667,1,5500,1700,4.177620750466393,unburned,treated,46.791666660000004,23,2,0.08,0.006194690273399639
2,TRT: Thin,2022,2_26,0,0,5500,1900,1.9983732243638754,unburned,treated,56.083333342,19,0,0,0
2,TRT: Thin,2022,2_29,2.208333333,1,2000,1020,2.5759437444131588,unburned,treated,62.833333338,20,4,0.16666666666666666,0.033952594483324106
2,TRT: Thin,2022,2_33,0,0,4000,1980,6.496895762400885,unburned,treated,50.083333335,18,0,0,0
3,TRT: Burn,2002,3_2,0.916666667,1,6500,4018.2891686,4.11954588027041,burned,treated,18.583333334,28,5,0.15151515151515152,0.04700854702323033
3,TRT: Burn,2002,3_5,0.708333333,1,5500,5577.6252636,6.512205084369351,burned,treated,20.166666668,24,3,0.1111111111111111,0.03393213571094936
3,TRT: Burn,2002,3_9,0.125,1,500,6157.3784272,6.712865750158442,burned,treated,13.375000002,27,2,0.06896551724137931,0.009259259257887517
3,TRT: Burn,2002,3_12,0.125,1,3000,379.8382796,6.7596044480303945,burned,treated,14.875,27,2,0.06896551724137931,0.008333333333333333
3,TRT: Burn,2002,3_18,0.75,1,0,1819.2254444,2.129874512347568,burned,treated,29.958333334,29,2,0.06451612903225806,0.024423337855643455
3,TRT: Burn,2002,3_22,0.041666667,1,2500,3658.4423772,2.988682321512025,burned,treated,20.208333333,29,1,0.03333333333333333,0.002057613185185185
3,TRT: Burn,2002,3_24,0.125000001,1,2500,919.6084664,6.3561386177990125,burned,treated,19.749999999,27,3,0.1,0.0062893082264150945
3,TRT: Burn,2002,3_26,0.125,1,2000,1219.4807924,7.6327734731690935,burned,treated,13.791666665,28,2,0.06666666666666667,0.008982035929219406
3,TRT: Burn,2002,3_29,0.25000000099999997,1,8500,6937.0464752,4.966240002634575,burned,treated,24.083333338,29,3,0.09375,0.010273972641443047
3,TRT: Burn,2002,3_33,0.166666667,1,8000,2838.791353,6.592874604066602,burned,treated,20.208333333,24,2,0.07692307692307693,0.008179959116564417
3,TRT: Burn,2022,3_2,0.375,1,2000,1560,2.0560618708591254,burned,treated,44.666666668,22,2,0.08333333333333333,0.00832562442158518
3,TRT: Burn,2022,3_5,0.791666667,1,3000,2340,8.358201235619028,burned,treated,29.708333333,17,4,0.19047619047619047,0.025956284163934425
3,TRT: Burn,2022,3_9,0,0,1000,1900,13.052911338421316,burned,treated,37.249999998999996,21,0,0,0
3,TRT: Burn,2022,3_12,0.25,1,5500,280,4.86310870339724,burned,treated,49.625000003,20,1,0.047619047619047616,0.005012531328019296
3,TRT: Burn,2022,3_18,1.125,1,1000,1000,5.2476929239325205,burned,treated,41.291666663,19,2,0.09523809523809523,0.026522593322528477
3,TRT: Burn,2022,3_22,0.333333333,1,6000,520,0.3158482249790837,burned,treated,48.083333335,20,2,0.09090909090909091,0.0068846815764024875
3,TRT: Burn,2022,3_24,0.833333333,1,2000,560,4.464574825962408,burned,treated,26.958333335,18,1,0.05263157894736842,0.029985007482819313
3,TRT: Burn,2022,3_26,0.291666667,1,7500,1120,3.4627263104902775,burned,treated,28.541666666999998,21,1,0.045454545454545456,0.010115606947742993
3,TRT: Burn,2022,3_29,0,0,2000,2700,6.98779396815054,burned,treated,45.958333331,20,0,0,0
3,TRT: Burn,2022,3_33,0.041666667,1,500,1300,8.731045043863617,burned,treated,26.333333335,25,1,0.038461538461538464,0.0015797788434821019
3,Control,2002,3_2,0.083333333,1,12500,3418.5445168,9.280403780501683,unburned,0untreated,27.666666666,28,1,0.034482758620689655,0.0030030029910992073
3,Control,2002,3_5,0,0,4500,679.7106056,8.940698641390066,unburned,0untreated,9.750000002,27,0,0,0
3,Control,2002,3_9,0.083333334,1,13500,3638.4508892,5.302840713924251,unburned,0untreated,16.125000003,32,2,0.058823529411764705,0.005141388214775213
3,Control,2002,3_12,0.291666667,1,12000,3878.3487496,3.80886438255319,unburned,0untreated,27.041666667,25,4,0.13793103448275862,0.010670731719251932
3,Control,2002,3_18,0.583333333,1,30490,2858.7828415999998,6.042304273545186,unburned,0untreated,18.416666669,23,3,0.11538461538461539,0.03070175436518929
3,Control,2002,3_22,0.166666667,1,5500,2698.8509342,9.959862477439579,unburned,0untreated,20.749999999,22,2,0.08333333333333333,0.00796812750623006
3,Control,2002,3_24,0,0,6000,179.9233956,27.840211438746294,unburned,0untreated,30.583333330000002,20,0,0,0
3,Control,2002,3_26,0.041666667,1,3000,1959.1658628,27.030615059951785,unburned,0untreated,29.708333331000002,24,1,0.04,0.0014005602353882728
3,Control,2002,3_29,1.2916666669999999,1,3000,699.702094,19.241212111902243,unburned,0untreated,18.958333336,20,4,0.16666666666666666,0.06378600823746379
3,Control,2002,3_33,0.25000000099999997,1,3500,259.8893492,16.08459848669266,unburned,0untreated,18.083333336,25,3,0.10714285714285714,0.013636363688181817
