BLOCK,PLOT,SIZE,TRT,SPECIES,DENSITY_HA,YEAR
3,28,medium,to,PIPO,379.8382796,2002
3,28,small,to,PICO,19.9914884,2002
3,28,small,to,PSME,199.914884,2002
3,28,small,to,PIPO,599.744652,2002
3,31,large,to,PICO,19.9914884,2002
3,31,large,to,PIPO,19.9914884,2002
3,31,medium,to,PICO,19.9914884,2002
3,31,medium,to,PIPO,179.9233956,2002
3,31,small,to,PIPO,239.8978608,2002
1,2,large,bo,NONE,0,2022
1,2,medium,bo,NONE,0,2022
1,2,small,bo,NONE,0,2022
1,2,large,bo,PSME,100,2022
1,2,medium,bo,PSME,20,2022
1,2,small,bo,PSME,300,2022
1,5,large,bo,NONE,0,2022
1,5,medium,bo,NONE,0,2022
1,5,small,bo,NONE,0,2022
1,5,large,bo,PSME,0,2022
1,5,medium,bo,PSME,0,2022
1,5,small,bo,PSME,20,2022
1,5,large,bo,PIPO,20,2022
1,5,medium,bo,PIPO,20,2022
1,5,small,bo,PIPO,20,2022
1,9,large,bo,NONE,0,2022
1,9,medium,bo,NONE,0,2022
1,9,small,bo,NONE,0,2022
1,9,large,bo,PSME,0,2022
1,9,medium,bo,PSME,20,2022
1,9,small,bo,PSME,60,2022
1,12,large,bo,NONE,0,2022
1,12,medium,bo,NONE,0,2022
1,12,small,bo,NONE,0,2022
1,12,large,bo,PSME,20,2022
1,12,medium,bo,PSME,60,2022
1,12,small,bo,PSME,20,2022
1,18,large,bo,NONE,0,2022
1,18,medium,bo,NONE,0,2022
1,18,small,bo,NONE,0,2022
1,18,large,bo,PSME,0,2022
1,18,medium,bo,PSME,0,2022
1,18,small,bo,PSME,20,2022
1,18,large,bo,PIPO,0,2022
1,18,medium,bo,PIPO,40,2022
1,18,small,bo,PIPO,0,2022
1,22,large,bo,PSME,80,2022
1,22,medium,bo,PSME,320,2022
1,22,small,bo,PSME,340,2022
1,22,large,bo,PIPO,0,2022
1,22,medium,bo,PIPO,20,2022
1,22,small,bo,PIPO,20,2022
1,24,large,bo,PSME,80,2022
1,24,medium,bo,PSME,120,2022
1,24,small,bo,PSME,120,2022
1,24,large,bo,PIPO,20,2022
1,24,medium,bo,PIPO,0,2022
1,24,small,bo,PIPO,800,2022
1,26,large,bo,NONE,0,2022
1,26,medium,bo,NONE,0,2022
1,26,small,bo,NONE,0,2022
1,26,large,bo,PSME,0,2022
1,26,medium,bo,PSME,20,2022
1,26,small,bo,PSME,120,2022
1,26,large,bo,PIPO,0,2022
1,26,medium,bo,PIPO,140,2022
1,26,small,bo,PIPO,1820,2022
1,29,large,bo,NONE,0,2022
1,29,medium,bo,NONE,0,2022
1,29,small,bo,NONE,0,2022
1,29,large,bo,PSME,40,2022
1,29,medium,bo,PSME,20,2022
1,29,small,bo,PSME,0,2022
1,33,large,bo,NONE,0,2022
1,33,medium,bo,NONE,0,2022
1,33,small,bo,NONE,0,2022
1,33,large,bo,PSME,20,2022
1,33,medium,bo,PSME,120,2022
1,33,small,bo,PSME,40,2022
1,33,large,bo,PIPO,0,2022
1,33,medium,bo,PIPO,0,2022
1,33,small,bo,PIPO,40,2022
1,2,large,co,PSME,40,2022
1,2,medium,co,PSME,20,2022
1,2,small,co,PSME,60,2022
1,2,large,co,PIPO,960,2022
1,2,medium,co,PIPO,3780,2022
1,2,small,co,PIPO,3100,2022
1,5,large,co,NONE,0,2022
1,5,medium,co,NONE,0,2022
1,5,small,co,NONE,0,2022
1,5,large,co,PSME,0,2022
1,5,medium,co,PSME,60,2022
1,5,small,co,PSME,40,2022
1,5,large,co,PIPO,240,2022
1,5,medium,co,PIPO,200,2022
1,5,small,co,PIPO,180,2022
1,9,large,co,PSME,0,2022
1,9,medium,co,PSME,40,2022
1,9,small,co,PSME,0,2022
1,9,large,co,PIPO,240,2022
1,9,medium,co,PIPO,380,2022
1,9,small,co,PIPO,800,2022
1,12,large,co,PSME,60,2022
1,12,medium,co,PSME,20,2022
1,12,small,co,PSME,140,2022
1,12,large,co,PIPO,40,2022
1,12,medium,co,PIPO,20,2022
1,12,small,co,PIPO,20,2022
1,18,large,co,PSME,20,2022
1,18,medium,co,PSME,20,2022
1,18,small,co,PSME,20,2022
1,18,large,co,PIPO,620,2022
1,18,medium,co,PIPO,3660,2022
1,18,small,co,PIPO,3900,2022
1,22,large,co,NONE,0,2022
1,22,medium,co,NONE,0,2022
1,22,small,co,NONE,0,2022
1,22,large,co,PSME,20,2022
1,22,medium,co,PSME,60,2022
1,22,small,co,PSME,60,2022
1,22,large,co,PIPO,20,2022
1,22,medium,co,PIPO,240,2022
1,22,small,co,PIPO,660,2022
1,24,large,co,NONE,0,2022
1,24,medium,co,NONE,0,2022
1,24,small,co,NONE,0,2022
1,24,large,co,PSME,40,2022
1,24,medium,co,PSME,100,2022
1,24,small,co,PSME,40,2022
1,24,large,co,PIPO,20,2022
1,24,medium,co,PIPO,0,2022
1,24,small,co,PIPO,0,2022
1,26,large,co,NONE,0,2022
1,26,medium,co,NONE,0,2022
1,26,small,co,NONE,0,2022
1,26,large,co,PIPO,40,2022
1,26,medium,co,PIPO,140,2022
1,26,small,co,PIPO,440,2022
1,29,large,co,NONE,0,2022
1,29,medium,co,NONE,0,2022
1,29,small,co,NONE,0,2022
1,29,large,co,PSME,0,2022
1,29,medium,co,PSME,0,2022
1,29,small,co,PSME,100,2022
1,29,large,co,PIPO,40,2022
1,29,medium,co,PIPO,80,2022
