BLOCK,TRT,PLOT,LOAD.1HR,LOAD.10HR,LOAD.100HR,LOAD.S1000HR,LOAD.R1000HR,LOAD.FLOOR,FWD,YEAR
2,co ,21,0.059101524,3.393445109,0,0,7.8280164,34.99466064,3.452546633,2022
2,co ,21,0.112085,1.703692,0,6.680266,3.3065075,28.00866884,1.815777,2010
2,co ,21,0.134502,0.67251,6.792351,23.179178,0,31.720055,7.599363,2002
2,co ,21,0.236406095,0.377049457,1.464360935,0,5.370054554,16.62168049,2.077816486,2016
2,co ,22,0.059101524,1.13114837,4.393082804,15.49007885,10.7877894,26.02469323,5.583332697,2022
2,co ,22,0.22417,1.367437,6.792351,14.840054,2.824542,17.283507,8.383958,2002
2,co ,22,0.374309651,3.393445109,4.393082804,18.98268918,3.854858968,12.33251741,8.160837564,2016
2,co ,22,0.403506,4.0911025,5.424914,10.4351135,4.4049405,19.82198754,9.9195225,2010
2,co ,23,0.059101524,2.639346196,2.928721869,0,0,23.65244615,5.627169589,2022
2,co ,23,0.560425,1.031182,6.792351,2.600372,11.275751,26.586562,8.383958,2002
2,co ,23,1.255352,0.6837185,1.3562285,0,0,21.96319569,3.295299,2010
2,co ,23,2.088253842,3.770494566,1.464360935,0,0,13.71129416,7.323109342,2016
2,co ,24,0.039597531,0.757860028,5.886658103,0,2.543322528,18.45578832,6.684115662,2022
2,co ,24,0.134502,0.694927,4.079894,6.075007,0.963931,29.568023,4.909323,2002
2,co ,24,0.2353785,0.6837185,0,2.622789,0,14.46707812,0.919097,2010
2,co ,24,0.296981482,2.652510099,1.471664526,0,2.646478687,17.29036683,4.421156107,2016
2,co ,25,0,0,0,0,0,19.435539,0,2002
2,co ,25,0.039401016,2.26229674,8.786165607,0,0,18.08643283,11.08786336,2016
2,co ,25,0.0784595,1.0199735,0,0,0,25.19376758,1.098433,2010
2,co ,25,0.295507619,1.508197826,1.464360935,1.068785172,0,43.29277431,3.26806638,2022
2,co ,26,0.019700508,4.147544023,4.393082804,21.20329773,1.454619231,39.28065632,8.560327334,2016
2,co ,26,0.067251,2.734874,4.079894,0,1.255352,23.874105,6.882019,2002
2,co ,26,0.09850254,7.540989132,20.50105308,50.73076495,0,41.76433214,28.14054476,2022
2,co ,26,0.1457105,1.367437,0,5.267995,5.1895355,14.03781454,1.5131475,2010
2,co ,27,0.059101524,0.754098913,4.393082804,1.206558261,0.904918696,27.44804148,5.206283241,2022
2,co ,27,0.381089,1.703692,10.849828,6.882019,0,20.735725,12.934609,2002
2,co ,27,0.515591,3.0599205,8.137371,1.277769,3.833307,20.2590721,11.7128825,2010
2,co ,27,0.57131473,1.508197826,5.857443738,0,1.8762936,19.64349557,7.936956295,2016
2,co ,28,0.067251,0.694927,0,0,0,16.880001,0.762178,2002
2,co ,28,0.067251,2.7460825,1.367437,0,0,25.46493044,4.1807705,2010
2,co ,28,0.138591358,2.652510099,1.471664526,0,0,9.183322665,4.262765983,2016
2,co ,28,0.336579013,1.894650071,1.471664526,0,0,30.50492582,3.702893609,2022
2,co ,29,0.098699055,0,0,11.07299013,0,26.82075924,0.098699055,2022
2,co ,29,0.413710667,0.754098913,0,12.00932798,0,20.09249183,1.16780958,2016
2,co ,29,0.807012,0.336255,1.367437,0,0,26.67623,2.510704,2002
2,co ,29,1.0872245,1.031182,0,0,0,21.12951097,2.1184065,2010
2,co ,30,0,1.136790043,8.829987154,13.77730886,0,20.2676104,9.966777197,2022
2,co ,30,0.2353785,5.82842,0,0,0,23.46965746,6.0637985,2010
2,co ,30,0.515591,0.694927,2.734874,0,101.661095,20.466721,3.945392,2002
2,co ,30,0.554365433,3.410370128,2.943329051,10.48941216,0,14.18574358,6.908064612,2016
2,co ,31,0.22417,0.336255,0,5.424914,0,14.727969,0.560425,2002
2,co ,31,0.472812191,4.147544023,1.464360935,2.082148313,0,18.22014732,6.084717148,2016
2,co ,31,0.7509695,6.814768,0,0,0.7061355,20.64565506,7.5657375,2010
2,co ,31,1.044126921,7.540989132,2.928721869,0,0.704521476,18.11188599,11.51383792,2022
2,co ,32,0.138591358,5.305020199,4.414993577,0,0,32.71155656,9.858605134,2022
2,co ,32,0.941514,0.694927,1.367437,1.681275,53.173124,23.291263,3.003878,2002
2,co ,32,1.0423905,1.367437,0,0,0,31.52604554,2.4098275,2010
2,co ,32,1.405712347,3.031440113,0,0,0,20.95858248,4.43715246,2016
2,co ,33,0.269004,2.734874,12.262099,13.22603,16.431661,36.046536,15.265977,2002
2,co ,33,0.356377778,1.136790043,8.829987154,3.224445297,1.715018888,10.04624591,10.32315497,2016
2,co ,33,1.108730865,10.23111038,10.30165168,0,2.708493674,37.69169172,21.64149293,2022
2,co ,33,1.3338115,1.3786455,5.447331,3.564303,0,25.1229226,8.159788,2010
2,co ,34,1.385913581,3.410370128,1.471664526,0,0,14.29400491,6.267948235,2022
2,co ,34,2.039947,2.398619,4.079894,1.883028,0,12.800107,8.51846,2002
2,co ,34,2.5443295,7.195857,2.734874,0,0,15.29851512,12.4750605,2010
2,co ,34,2.613437039,3.410370128,1.471664526,0,0,41.96173647,7.495471692,2016
2,co ,35,0,4.168230156,1.471664526,1.003029835,16.23217481,13.00120374,5.639894682,2022
2,co ,35,0.296981482,3.031440113,11.77331621,19.40121673,0,24.60134498,15.1017378,2016
2,co ,35,0.3026295,1.7149005,4.0911025,15.109058,0,14.48609347,6.1086325,2010
2,co ,35,0.313838,2.062364,6.814768,20.556389,0,8.877132,9.19097,2002
2,co ,36,0.158390124,13.64148051,17.65997431,25.13106385,23.09734519,26.26350165,31.45984494,2022
2,co ,36,0.269004,7.195857,1.367437,0,0,33.50976729,8.832298,2010
2,co ,36,0.376176543,6.820740255,8.829987154,43.89923882,0,14.31629066,16.02690395,2016
2,co ,36,0.403506,2.062364,4.079894,0,101.952516,23.268846,6.545764,2002
3,co ,1,0.21778642,3.410370128,7.358322628,23.86083772,0,30.35842781,10.98647918,2022
3,co ,1,0.269004,0.694927,1.367437,8.51846,0.717344,39.498754,2.331368,2002
