accepted_symbol,synonym_symbol,scientific_name,common_name,growth_habit
PRRA,NA,Prenanthes racemosa Michx.,purple rattlesnakeroot,forb
PRRAM2,NA,Prenanthes racemosa Michx. var. multiflora (Cronquist) Dorn,purple rattlesnakeroot,forb
PRAN,NA,Primula angustifolia Torr.,alpine primrose,forb
PREG,NA,Primula egaliksensis Wormsk. ex Hornem.,Greenland primrose,forb
PRIN,NA,Primula incana M.E. Jones,silvery primrose,forb
PRPA,NA,Primula parryi A. Gray,Parry's primrose,forb
PRPL2,NA,Proatriplex pleiantha (W.A. Weber) Stutz & G.L. Chu,Mancos shadscale,forb
PRLO,NA,Proboscidea louisianica (Mill.) Thell.,ram's horn,forb
PRLOL,NA,Proboscidea louisianica (Mill.) Thell. ssp. louisianica,ram's horn,forb
PRTR4,NA,Prosartes trachycarpa S. Watson,roughfruit fairybells,forb
PRVU,NA,Prunella vulgaris L.,common selfheal,forb
PRVUL2,NA,Prunella vulgaris L. ssp. lanceolata (W. Bartram) Hultén,lance selfheal,forb
PSMO,NA,Pseudocymopterus montanus (A. Gray) J.M. Coult. & Rose,alpine false springparsley,forb
PSCA11,NA,Pseudognaphalium canescens (DC.) W.A. Weber,Wright's cudweed,forb
PSCAC2,NA,Pseudognaphalium canescens (DC.) W.A. Weber ssp. canescens,Wright's cudweed,forb
PSCAT,NA,Pseudognaphalium canescens (DC.) W.A. Weber ssp. thermale (E.E. Nelson) Kartesz,Wright's cudweed,forb
PSJA4,NA,Pseudognaphalium jaliscense (Greenm.) Anderb.,Jalisco rabbit-tobacco,forb
PSMA11,NA,Pseudognaphalium macounii (Greene) Kartesz,Macoun's cudweed,forb
PSST7,NA,Pseudognaphalium stramineum (Kunth) Anderb.,cottonbatting plant,forb
PSJA2,NA,Pseudostellaria jamesiana (Torr.) W.A. Weber & R.L. Hartm.,tuber starwort,forb
PSBA2,NA,Psilostrophe bakeri Greene,Baker's paperflower,forb
PSTA,NA,Psilostrophe tagetina (Nutt.) Greene,woolly paperflower,forb
PSTAT,NA,Psilostrophe tagetina (Nutt.) Greene var. tagetina,woolly paperflower,forb
PSLA3,NA,Psoralidium lanceolatum (Pursh) Rydb.,lemon scurfpea,forb
PSTE5,NA,Psoralidium tenuiflorum (Pursh) Rydb.,slimflower scurfpea,forb
PTAQ,NA,Pteridium aquilinum (L.) Kuhn,western brackenfern,forb
PTAQL,NA,Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller,western brackenfern,forb
PTAQP2,NA,Pteridium aquilinum (L.) Kuhn var. pubescens Underw.,hairy brackenfern,forb
PTAN2,NA,Pterospora andromedea Nutt.,woodland pinedrops,forb
PTHE,NA,Pteryxia hendersonii (J.M. Coult. & Rose) Mathias & Constance,Henderson's wavewing,forb
PTPE,NA,Pteryxia petraea (M.E. Jones) J.M. Coult. & Rose,rockloving wavewing,forb
PTTE,NA,Pteryxia terebinthina (Hook.) J.M. Coult. & Rose,turpentine wavewing,forb
PTTEA,NA,Pteryxia terebinthina (Hook.) J.M. Coult. & Rose var. albiflora (Torr. & A. Gray) Mathias,turpentine wavewing,forb
PUPA5,NA,Pulsatilla patens (L.) Mill.,eastern pasqueflower,forb
PUPAM,NA,Pulsatilla patens (L.) Mill. ssp. multifida (Pritz.) Zamels,cutleaf anemone,forb
PYCL2,NA,Pyrrocoma clementis Rydb.,tranquil goldenweed,forb
PYCLC,NA,Pyrrocoma clementis Rydb. var. clementis,tranquil goldenweed,forb
PYCR2,NA,Pyrrocoma crocea (A. Gray) Greene,curlyhead goldenweed,forb
PYCRC,NA,Pyrrocoma crocea (A. Gray) Greene var. crocea,curlyhead goldenweed,forb
PYLA,NA,Pyrrocoma lanceolata (Hook.) Greene,lanceleaf goldenweed,forb
PYLAL,NA,Pyrrocoma lanceolata (Hook.) Greene var. lanceolata,lanceleaf goldenweed,forb
PYUN2,NA,Pyrrocoma uniflora (Hook.) Greene,plantain goldenweed,forb
PYUNU,NA,Pyrrocoma uniflora (Hook.) Greene var. uniflora,plantain goldenweed,forb
QULO2,NA,Quincula lobata (Torr.) Raf.,Chinese lantern,forb
RAAB,NA,Ranunculus abortivus L.,littleleaf buttercup,forb
RAAC2,NA,Ranunculus acriformis A. Gray,sharpleaf buttercup,forb
RAACA2,NA,Ranunculus acriformis A. Gray var. acriformis,sharpleaf buttercup,forb
RAAC3,NA,Ranunculus acris L.,tall buttercup,forb
RAACA3,NA,Ranunculus acris L. var. acris,showy buttercup,forb
RAAD,NA,Ranunculus adoneus A. Gray,alpine buttercup,forb
RAADA2,NA,Ranunculus adoneus A. Gray var. adoneus,alpine buttercup,forb
RAADA,NA,Ranunculus adoneus A. Gray var. alpinus (S. Watson) L.D. Benson,alpine buttercup,forb
RAAL,NA,Ranunculus alismifolius Geyer ex Benth.,plantainleaf buttercup,forb
RAALM,NA,Ranunculus alismifolius Geyer ex Benth. var. montanus S. Watson,waterplantain buttercup,forb
RACA4,NA,Ranunculus cardiophyllus Hook.,heartleaf buttercup,forb
RACO10,NA,Ranunculus coloradensis (L.D. Benson) L.D. Benson,Colorado buttercup,forb
RACY,NA,Ranunculus cymbalaria Pursh,alkali buttercup,forb
RAES,NA,Ranunculus eschscholtzii Schltdl.,Eschscholtz's buttercup,forb
RAESE2,NA,Ranunculus eschscholtzii Schltdl. var. eschscholtzii,Eschscholtz's buttercup,forb
RAFA,NA,Ranunculus fascicularis Muhl. ex Bigelow,early buttercup,forb
RAFL2,NA,Ranunculus flammula L.,greater creeping spearwort,forb
RAFLF,NA,Ranunculus flammula L. var. filiformis (Michx.) Hook.,greater creeping spearwort,forb
RAFLF2,NA,Ranunculus flammula L. var. flammula,greater creeping spearwort,forb
RAGL,NA,Ranunculus glaberrimus Hook.,sagebrush buttercup,forb
RAGLE,NA,Ranunculus glaberrimus Hook. var. ellipticus (Greene) Greene,elliptical buttercup,forb
RAGM,NA,Ranunculus gmelinii DC.,Gmelin's buttercup,forb
RAHY2,NA,Ranunculus hyperboreus Rottb.,high northern buttercup,forb
RAIN,NA,Ranunculus inamoenus Greene,graceful buttercup,forb
RAINA,NA,Ranunculus inamoenus Greene var. alpeophilus (A. Nelson) L.D. Benson,graceful buttercup,forb
RAINI2,NA,Ranunculus inamoenus Greene var. inamoenus,graceful buttercup,forb
RAJO,NA,Ranunculus jovis A. Nelson,Utah buttercup,forb
RAKA3,NA,Ranunculus karelinii Czern.,ice cold buttercup,forb
RALO2,NA,Ranunculus longirostris Godr.,longbeak buttercup,forb
RAMA,NA,Ranunculus macauleyi A. Gray,Rocky Mountain buttercup,forb
RAMAB,NA,Ranunculus macauleyi A. Gray var. brandegeei L.D. Benson,Brandegee's buttercup,forb
RAMAM,NA,Ranunculus macauleyi A. Gray var. macauleyi,Rocky Mountain buttercup,forb
RAMA2,NA,Ranunculus macounii Britton,Macoun's buttercup,forb
RAOR,NA,Ranunculus oreogenes Greene,Oregon buttercup,forb
RAPE,NA,Ranunculus pedatifidus Sm.,surefoot buttercup,forb
RAPEA,NA,Ranunculus pedatifidus Sm. var. affinis (R. Br.) L.D. Benson,northern buttercup,forb
RAPE2,NA,Ranunculus pensylvanicus L. f.,Pennsylvania buttercup,forb
RAPY,NA,Ranunculus pygmaeus Wahlenb.,pygmy buttercup,forb
RAPYP2,NA,Ranunculus pygmaeus Wahlenb. var. pygmaeus,pygmy buttercup,forb
RARA,NA,Ranunculus ranunculinus (Nutt.) Rydb.,tadpole buttercup,forb
RARE3,NA,Ranunculus repens L.,creeping buttercup,forb
RASC3,NA,Ranunculus sceleratus L.,cursed buttercup,forb
RASCM,NA,Ranunculus sceleratus L. var. multifidus Nutt.,cursed buttercup,forb
RASCS,NA,Ranunculus sceleratus L. var. sceleratus,cursed buttercup,forb
RATR,NA,Ranunculus trichophyllus Chaix,threadleaf crowfoot,forb
RATRT,NA,Ranunculus trichophyllus Chaix var. trichophyllus,threadleaf crowfoot,forb
RAUN,NA,Ranunculus uncinatus D. Don ex G. Don,woodland buttercup,forb
RAUNE,NA,Ranunculus uncinatus D. Don ex G. Don var. earlei (Greene) L.D. Benson,Earle's buttercup,forb
RAUNP,NA,Ranunculus uncinatus D. Don ex G. Don var. parviflorus (Torr.) L.D. Benson,Idaho buttercup,forb
RAUNU,NA,Ranunculus uncinatus D. Don ex G. Don var. uncinatus,woodland buttercup,forb
RARA2,NA,Raphanus raphanistrum L.,wild radish,forb
RASA2,NA,Raphanus sativus L.,cultivated radish,forb
RACO3,NA,Ratibida columnifera (Nutt.) Wooton & Standl.,upright prairie coneflower,forb
RATA,NA,Ratibida tagetes (James) Barnhart,green prairie coneflower,forb
RAAN2,NA,Rayjacksonia annua (Rydb.) R.L. Hartm. & M.A. Lane,viscid tansyaster,forb
RAPH2,NA,Rayjacksonia phyllocephala (DC.) R.L. Hartm. & M.A. Lane,camphor daisy,forb
RELU,NA,Reseda lutea L.,yellow mignonette,forb
RELU2,NA,Reseda luteola L.,weld,forb
REAR,NA,Reverchonia arenaria A. Gray,sand reverchonia,forb
RHRH2,NA,Rheum rhabarbarum L.,garden rhubarb,forb
RHMI13,NA,Rhinanthus minor L.,little yellow rattle,forb
RHMIM,NA,Rhinanthus minor L. ssp. minor,little yellow rattle,forb
RHIN11,NA,Rhodiola integrifolia Raf.,ledge stonecrop,forb
RHINI,NA,Rhodiola integrifolia Raf. ssp. integrifolia,ledge stonecrop,forb
RHINP,NA,Rhodiola integrifolia Raf. ssp. procera (R.T. Clausen) Kartesz,ledge stonecrop,forb
RHRH4,NA,Rhodiola rhodantha (A. Gray) H. Jacobsen,redpod stonecrop,forb
ROAL,NA,Rorippa alpina (S. Watson) Rydb.,alpine yellowcress,forb
ROCO2,NA,Rorippa coloradensis R. Stuckey,San Luis yellowcress,forb
ROCU2,NA,Rorippa curvipes Greene,bluntleaf yellowcress,forb
ROCUC,NA,Rorippa curvipes Greene var. curvipes,bluntleaf yellowcress,forb
ROCUT,NA,Rorippa curvipes Greene var. truncata (Jeps.) Rollins,bluntleaf yellowcress,forb
ROPA2,NA,Rorippa palustris (L.) Besser,bog yellowcress,forb
ROPAF2,NA,Rorippa palustris (L.) Besser ssp. fernaldiana (Butters & Abbe) Jonsell,Fernald's yellowcress,forb
ROPAH,NA,Rorippa palustris (L.) Besser ssp. hispida (Desv.) Jonsell,hispid yellowcress,forb
ROSI2,NA,Rorippa sinuata (Nutt.) Hitchc.,spreading yellowcress,forb
ROSP4,NA,Rorippa sphaerocarpa (A. Gray) Britton,roundfruit yellowcress,forb
ROSY,NA,Rorippa sylvestris (L.) Besser,creeping yellowcress,forb
ROTE,NA,Rorippa tenerrima Greene,Modoc yellowcress,forb
RORA,NA,Rotala ramosior (L.) Koehne,lowland rotala,forb
RUAR,NA,Rubus arcticus L.,arctic raspberry,forb
RUARA2,NA,Rubus arcticus L. ssp. acaulis (Michx.) Focke,dwarf raspberry,forb
RUPU,NA,Rubus pubescens Raf.,dwarf red blackberry,forb
RUPUP2,NA,Rubus pubescens Raf. var. pubescens,dwarf red blackberry,forb
RUHI2,NA,Rudbeckia hirta L.,blackeyed Susan,forb
RUHIP,NA,Rudbeckia hirta L. var. pulcherrima Farw.,blackeyed Susan,forb
RULA3,NA,Rudbeckia laciniata L.,cutleaf coneflower,forb
RULAA,NA,Rudbeckia laciniata L. var. ampla (A. Nelson) Cronquist,cutleaf coneflower,forb
RULAL,NA,Rudbeckia laciniata L. var. laciniata,cutleaf coneflower,forb
RUMO9,NA,Rudbeckia montana A. Gray,montane coneflower,forb
RUTR2,NA,Rudbeckia triloba L.,browneyed Susan,forb
RUTRT,NA,Rudbeckia triloba L. var. triloba,browneyed Susan,forb
RUAC3,NA,Rumex acetosella L.,common sheep sorrel,forb
RUAL4,NA,Rumex altissimus Alph. Wood,pale dock,forb
RUAQ,NA,Rumex aquaticus L.,western dock,forb
RUAQF,NA,Rumex aquaticus L. var. fenestratus (Greene) Dorn,western dock,forb
RUCR,NA,Rumex crispus L.,curly dock,forb
RUCRC,NA,Rumex crispus L. ssp. crispus,curly dock,forb
RUDE2,NA,Rumex densiflorus Osterh.,denseflowered dock,forb
RUHY,NA,Rumex hymenosepalus Torr.,canaigre dock,forb
RUMA4,NA,Rumex maritimus L.,golden dock,forb
RUOB,NA,Rumex obtusifolius L.,bitter dock,forb
RUPA5,NA,Rumex patientia L.,patience dock,forb
RUPA6,NA,Rumex paucifolius Nutt.,alpine sheep sorrel,forb
RUPAP,NA,Rumex paucifolius Nutt. ssp. paucifolius,alpine sheep sorrel,forb
RUSA,NA,Rumex salicifolius Weinm.,willow dock,forb
RUSAD,NA,Rumex salicifolius Weinm. var. denticulatus Torr.,toothed willow dock,forb
RUSAM,NA,Rumex salicifolius Weinm. var. mexicanus (Meisn.) C.L. Hitchc.,Mexican dock,forb
RUST4,NA,Rumex stenophyllus Ledeb.,narrowleaf dock,forb
RUVE2,NA,Rumex venosus Pursh,veiny dock,forb
RUCI2,NA,Ruppia cirrhosa (Petagna) Grande,spiral ditchgrass,forb
SAAP,NA,Sagina apetala Ard.,annual pearlwort,forb
SAPR,NA,Sagina procumbens L.,birdeye pearlwort,forb
SASA,NA,Sagina saginoides (L.) Karst.,arctic pearlwort,forb
SABR8,NA,Sagittaria brevirostra Mack. & Bush,shortbeak arrowhead,forb
SACA21,NA,Sagittaria calycina Engelm.,hooded arrowhead,forb
SACAC,NA,Sagittaria calycina Engelm. var. calycina,hooded arrowhead,forb
SACU,NA,Sagittaria cuneata Sheldon,arumleaf arrowhead,forb
SAGR,NA,Sagittaria graminea Michx.,grassy arrowhead,forb
SAGRG,NA,Sagittaria graminea Michx. var. graminea,grassy arrowhead,forb
SALA2,NA,Sagittaria latifolia Willd.,broadleaf arrowhead,forb
SALO2,NA,Sagittaria longiloba Engelm. ex J.G. Sm.,longbarb arrowhead,forb
SARU,NA,Salicornia rubra A. Nelson,red swampfire,forb
SACO8,NA,Salsola collina Pall.,slender Russian thistle,forb
SAPA8,NA,Salsola paulsenii Litv.,barbwire Russian thistle,forb
SATR12,NA,Salsola tragus L.,prickly Russian thistle,forb
SASY,NA,Salvia ×sylvestris L. (pro sp.) [nemorosa × pratensis],woodland sage,forb
SAAE,NA,Salvia aethiopis L.,Mediterranean sage,forb
SAAZ,NA,Salvia azurea Michx. ex Lam.,azure blue sage,forb
SAAZG,NA,Salvia azurea Michx. ex Lam. var. grandiflora Benth.,pitcher sage,forb
SAPR2,NA,Salvia pratensis L.,introduced sage,forb
SARE3,NA,Salvia reflexa Hornem.,lanceleaf sage,forb
SASC2,NA,Salvia sclarea L.,Europe sage,forb
SAMI3,NA,Sanguisorba minor Scop.,small burnet,forb
SAMIB2,NA,Sanguisorba minor Scop. ssp. balearica (Bourg. ex Nyman) M. Garm. & C. Navarro,small burnet,forb
SAMA2,NA,Sanicula marilandica L.,Maryland sanicle,forb
SAOF4,NA,Saponaria officinalis L.,bouncingbet,forb
SAWE,NA,Saussurea weberi Hultén,Weber's saw-wort,forb
SAAD,NA,Saxifraga adscendens L.,wedgeleaf saxifrage,forb
SAADO2,NA,Saxifraga adscendens L. ssp. oregonensis (Raf.) Bacig.,small saxifrage,forb
SABR6,NA,Saxifraga bronchialis L.,yellowdot saxifrage,forb
SABRA2,NA,Saxifraga bronchialis L. ssp. austromontana (Wiegand) Piper,matted saxifrage,forb
SACA50,NA,Saxifraga caespitosa L.,tufted alpine saxifrage,forb
SACAD2,NA,Saxifraga caespitosa L. ssp. delicatula (Small) A.E. Porsild,tufted alpine saxifrage,forb
SACAM2,NA,Saxifraga caespitosa L. ssp. monticola (Small) A.E. Porsild,tufted alpine saxifrage,forb
SACE2,NA,Saxifraga cernua L.,nodding saxifrage,forb
SACH4,NA,Saxifraga chrysantha A. Gray,goldbloom saxifrage,forb
SAFL6,NA,Saxifraga flagellaris Willd. ex Sternb.,whiplash saxifrage,forb
SAFLC,NA,Saxifraga flagellaris Willd. ex Sternb. ssp. crandallii (Gandog.) Hultén,Crandall's saxifrage,forb
SAFO4,NA,Saxifraga foliolosa R. Br.,leafystem saxifrage,forb
SAHI3,NA,Saxifraga hirculus L.,yellow marsh saxifrage,forb
SAHIH2,NA,Saxifraga hirculus L. ssp. hirculus,yellow marsh saxifrage,forb
SAOC4,NA,Saxifraga occidentalis S. Watson,Alberta saxifrage,forb
SAOD2,NA,Saxifraga odontoloma Piper,brook saxifrage,forb
SAOP,NA,Saxifraga oppositifolia L.,purple mountain saxifrage,forb
SAOPO,NA,Saxifraga oppositifolia L. ssp. oppositifolia,purple mountain saxifrage,forb
SAOR2,NA,Saxifraga oregana Howell,Oregon saxifrage,forb
SARH2,NA,Saxifraga rhomboidea Greene,diamondleaf saxifrage,forb
SARI8,NA,Saxifraga rivularis L.,weak saxifrage,forb
SCSC15,NA,Scabrethia scabra (Hook.) W.A. Weber,badlands mule-ears,forb
SCSCC,NA,Scabrethia scabra (Hook.) W.A. Weber ssp. canescens (W.A. Weber) W.A. Weber,badlands mule-ears,forb
SCSCS5,NA,Scabrethia scabra (Hook.) W.A. Weber ssp. scabra,badlands mule-ears,forb
SCMU6,NA,Schkuhria multiflora Hook. & Arn.,manyflower false threadleaf,forb
SCLI12,NA,Schoenocrambe linearifolia (A. Gray) Rollins,slimleaf plainsmustard,forb
SCLI,NA,Schoenocrambe linifolia (Nutt.) Greene,flaxleaf plainsmustard,forb
SCLA6,NA,Scorzonera laciniata L.,cutleaf vipergrass,forb
SCLA,NA,Scrophularia lanceolata Pursh,lanceleaf figwort,forb
SCBR3,NA,Scutellaria brittonii Porter,Britton's skullcap,forb
SCGA,NA,Scutellaria galericulata L.,marsh skullcap,forb
SCLA2,NA,Scutellaria lateriflora L.,blue skullcap,forb
SCLAL2,NA,Scutellaria lateriflora L. var. lateriflora,blue skullcap,forb
SCRE3,NA,Scutellaria resinosa Torr.,sticky skullcap,forb
SEVA4,NA,Securigera varia (L.) Lassen,crownvetch,forb
SEAC,NA,Sedum acre L.,goldmoss stonecrop,forb
SELA,NA,Sedum lanceolatum Torr.,spearleaf stonecrop,forb
SELAL,NA,Sedum lanceolatum Torr. ssp. lanceolatum,spearleaf stonecrop,forb
SELAS,NA,Sedum lanceolatum Torr. ssp. subalpinum (Blank.) R.T. Clausen,subalpine stonecrop,forb
SEDE2,NA,Selaginella densa Rydb.,lesser spikemoss,forb
SEDED,NA,Selaginella densa Rydb. var. densa,lesser spikemoss,forb
SEDES,NA,Selaginella densa Rydb. var. scopulorum (Maxon) R. Tryon,Rocky Mountain spikemoss,forb
SEDES2,NA,Selaginella densa Rydb. var. standleyi (Maxon) R. Tryon,Standley's spikemoss,forb
SEMU,NA,Selaginella mutica D.C. Eaton ex Underw.,bluntleaf spikemoss,forb
SEMUM,NA,Selaginella mutica D.C. Eaton ex Underw. var. mutica,bluntleaf spikemoss,forb
SESE,NA,Selaginella selaginoides (L.) P. Beauv. ex Mart. & Schrank,club spikemoss,forb
SEUN,NA,Selaginella underwoodii Hieron.,Underwood's spikemoss,forb
SEWE3,NA,Selaginella weatherbiana R. Tryon,Weatherby's spikemoss,forb
SEAM,NA,Senecio amplectens A. Gray,showy alpine ragwort,forb
SEAMA,NA,Senecio amplectens A. Gray var. amplectens,showy alpine ragwort,forb
SEAMH,NA,Senecio amplectens A. Gray var. holmii (Greene) Harrington,Holm's ragwort,forb
SEAT,NA,Senecio atratus Greene,tall blacktip ragwort,forb
SEBI2,NA,Senecio bigelovii A. Gray,nodding ragwort,forb
SEBIH,NA,Senecio bigelovii A. Gray var. hallii,Hall's ragwort,forb
SECR,NA,Senecio crassulus A. Gray,thickleaf ragwort,forb
SEER2,NA,Senecio eremophilus Richardson,desert ragwort,forb
SEERK,NA,Senecio eremophilus Richardson var. kingii (Rydb.) Greenm.,King's ragwort,forb
SEFL3,NA,Senecio flaccidus Less.,threadleaf ragwort,forb
SEFLD,NA,Senecio flaccidus Less. var. douglasii (DC.) B.L. Turner & T.M. Barkley,Douglas' ragwort,forb
SEFLF,NA,Senecio flaccidus Less. var. flaccidus,threadleaf ragwort,forb
SEFR3,NA,Senecio fremontii Torr. & A. Gray,dwarf mountain ragwort,forb
SEFRB,NA,Senecio fremontii Torr. & A. Gray var. blitoides (Greene) Cronquist,dwarf mountain ragwort,forb
SEFRI,NA,Senecio fremontii Torr. & A. Gray var. inexpectatus Cronquist,dwarf mountain ragwort,forb
SEHY2,NA,Senecio hydrophilus Nutt.,water ragwort,forb
SEIN2,NA,Senecio integerrimus Nutt.,lambstongue ragwort,forb
SEINE,NA,Senecio integerrimus Nutt. var. exaltatus (Nutt.) Cronquist,Columbia ragwort,forb
SEINI,NA,Senecio integerrimus Nutt. var. integerrimus,lambstongue ragwort,forb
SEPU3,NA,Senecio pudicus Greene,bashful ragwort,forb
SERA,NA,Senecio rapifolius Nutt.,openwoods ragwort,forb
SERI2,NA,Senecio riddellii Torr. & A. Gray,Riddell's ragwort,forb
SESE2,NA,Senecio serra Hook.,tall ragwort,forb
SESEA,NA,Senecio serra Hook. var. admirabilis (Greene) A. Nelson,tall ragwort,forb
SESES,NA,Senecio serra Hook. var. serra,tall ragwort,forb
SESO,NA,Senecio soldanella A. Gray,Colorado ragwort,forb
SESP3,NA,Senecio spartioides Torr. & A. Gray,broom-like ragwort,forb
SESPM,NA,Senecio spartioides Torr. & A. Gray var. multicapitatus (Greenm. ex Rydb.) S.L. Welsh,broom-like ragwort,forb
SESPS2,NA,Senecio spartioides Torr. & A. Gray var. spartioides,broom-like ragwort,forb
SESP4,NA,Senecio sphaerocephalus Greene,ballhead ragwort,forb
SETA,NA,Senecio taraxacoides (A. Gray) Greene,dandelion ragwort,forb
SETR,NA,Senecio triangularis Hook.,arrowleaf ragwort,forb
SEVU,NA,Senecio vulgaris L.,old-man-in-the-Spring,forb
SEWO,NA,Senecio wootonii Greene,Wooton's ragwort,forb
SEVE2,NA,Sesuvium verrucosum Raf.,verrucose seapurslane,forb
SHRO2,NA,Shinnersoseris rostrata (A. Gray) S. Tomb,beaked skeletonweed,forb
SIPR,NA,Sibbaldia procumbens L.,creeping sibbaldia,forb
SICA3,NA,Sidalcea candida A. Gray,white checkerbloom,forb
SICAC4,NA,Sidalcea candida A. Gray var. candida,white checkerbloom,forb
SICAG3,NA,Sidalcea candida A. Gray var. glabrata C.L. Hitchc.,white checkerbloom,forb
SINE3,NA,Sidalcea neomexicana A. Gray,salt spring checkerbloom,forb
SINEN,NA,Sidalcea neomexicana A. Gray ssp. neomexicana,salt spring checkerbloom,forb
SIAC,NA,Silene acaulis (L.) Jacq.,moss campion,forb
SIACS2,NA,Silene acaulis (L.) Jacq. var. subacaulescens (F.N. Williams) Fernald & H. St. John,moss campion,forb
SIAN2,NA,Silene antirrhina L.,sleepy silene,forb
SICO3,NA,Silene conica L.,striped corn catchfly,forb
SICO4,NA,Silene conoidea L.,weed silene,forb
SICS,NA,Silene csereii Baumg.,Balkan catchfly,forb
SIDI2,NA,Silene dichotoma Ehrh.,forked catchfly,forb
SIDI4,NA,Silene dioica (L.) Clairville,red catchfly,forb
SIDR,NA,Silene drummondii Hook.,Drummond's campion,forb
SIDRD,NA,Silene drummondii Hook. var. drummondii,Drummond's campion,forb
SIDRK,NA,Silene drummondii Hook. var. kruckebergii Bocquet,Kruckeberg's campion,forb
SIDRS,NA,Silene drummondii Hook. var. striata (Rydb.) Bocquet,Drummond's campion,forb
SIGA,NA,Silene gallica L.,common catchfly,forb
SIKI,NA,Silene kingii (S. Watson) Bocquet,King's campion,forb
SILA21,NA,Silene latifolia Poir.,bladder campion,forb
SILAA3,NA,Silene latifolia Poir. ssp. alba (Mill.) Greuter & Burdet,bladder campion,forb
SIME,NA,Silene menziesii Hook.,Menzies' campion,forb
SIMEM,NA,Silene menziesii Hook. ssp. menziesii,Menzies' campion,forb
SIMEM2,NA,Silene menziesii Hook. ssp. menziesii var. menziesii,Menzies' campion,forb
SIMEV2,NA,Silene menziesii Hook. ssp. menziesii var. viscosa (Greene) C.L. Hitchc. & Maguire,Menzies' campion,forb
SINO,NA,Silene noctiflora L.,nightflowering silene,forb
SISC7,NA,Silene scouleri Hook.,simple campion,forb
SISCH,NA,Silene scouleri Hook. ssp. hallii (S. Watson) C.L. Hitchc. & Maguire,simple campion,forb
SIUR,NA,Silene uralensis (Rupr.) Bocquet,apetalous catchfly,forb
SIURM,NA,Silene uralensis (Rupr.) Bocquet ssp. montana (S. Watson) McNeill,apetalous catchfly,forb
SIVU,NA,Silene vulgaris (Moench) Garcke,maidenstears,forb
SIIN2,NA,Silphium integrifolium Michx.,wholeleaf rosinweed,forb
SIINL,NA,Silphium integrifolium Michx. var. laeve Torr. & A. Gray,wholeleaf rosinweed,forb
SILA3,NA,Silphium laciniatum L.,compassplant,forb
SILAL2,NA,Silphium laciniatum L. var. laciniatum,compassplant,forb
SIMA3,NA,Silybum marianum (L.) Gaertn.,blessed milkthistle,forb
SIAL5,NA,Sinapis alba L.,white mustard,forb
SIAR4,NA,Sinapis arvensis L.,charlock mustard,forb
SIARA,NA,Sinapis arvensis L. ssp. arvensis,wild mustard,forb
SIAL2,NA,Sisymbrium altissimum L.,tall tumblemustard,forb
SIAU6,NA,Sisymbrium austriacum Jacq.,jeweled rocket,forb
SIIR,NA,Sisymbrium irio L.,London rocket,forb
SILO3,NA,Sisymbrium loeselii L.,small tumbleweed mustard,forb
SIOF,NA,Sisymbrium officinale (L.) Scop.,hedgemustard,forb
SIDE4,NA,Sisyrinchium demissum Greene,stiff blue-eyed grass,forb
SIID,NA,Sisyrinchium idahoense E.P. Bicknell,Idaho blue-eyed grass,forb
SIIDO,NA,Sisyrinchium idahoense E.P. Bicknell var. occidentale (E.P. Bicknell) Douglass M. Hend.,Idaho blue-eyed grass,forb
SIMO2,NA,Sisyrinchium montanum Greene,strict blue-eyed grass,forb
SIMOM,NA,Sisyrinchium montanum Greene var. montanum,strict blue-eyed grass,forb
SIPA11,NA,Sisyrinchium pallidum Cholewa & Douglass M. Hend.,pale blue-eyed grass,forb
SISU2,NA,Sium suave Walter,hemlock waterparsnip,forb
SMCA,NA,Smelowskia calycina (Stephan ex Willd.) C.A. Mey.,alpine smelowskia,forb
SMCAA,NA,Smelowskia calycina (Stephan ex Willd.) C.A. Mey. var. americana (Regel & Herder) Drury & Rollins,American false candytuft,forb
SMLA3,NA,Smilax lasioneura Hook.,Blue Ridge carrionflower,forb
SOAM,NA,Solanum americanum Mill.,American black nightshade,forb
SOCA3,NA,Solanum carolinense L.,Carolina horsenettle,forb
SOCAC4,NA,Solanum carolinense L. var. carolinense,Carolina horsenettle,forb
SODU,NA,Solanum dulcamara L.,climbing nightshade,forb
SODUD,NA,Solanum dulcamara L. var. dulcamara,climbing nightshade,forb
SOEL,NA,Solanum elaeagnifolium Cav.,silverleaf nightshade,forb
SOHE,NA,Solanum heterodoxum Dunal,melonleaf nightshade,forb
SOHES,NA,Solanum heterodoxum Dunal var. setigeroides M.D. Whalen,melonleaf nightshade,forb
SOIN2,NA,Solanum interius Rydb.,deadly nightshade,forb
SOJA,NA,Solanum jamesii Torr.,wild potato,forb
SOPH,NA,Solanum physalifolium Rusby,hoe nightshade,forb
SOPT7,NA,Solanum ptycanthum Dunal,West Indian nightshade,forb
SORO,NA,Solanum rostratum Dunal,buffalobur nightshade,forb
SOTR,NA,Solanum triflorum Nutt.,cutleaf nightshade,forb
SOAL6,NA,Solidago altissima L.,Canada goldenrod,forb
SOCA6,NA,Solidago canadensis L.,Canada goldenrod,forb
SOCAG,NA,Solidago canadensis L. var. gilvocanescens Rydb.,shorthair goldenrod,forb
SOCAS,NA,Solidago canadensis L. var. salebrosa (Piper) M.E. Jones,rough Canada goldenrod,forb
SOGI,NA,Solidago gigantea Aiton,giant goldenrod,forb
