accepted_symbol,synonym_symbol,scientific_name,common_name,growth_habit
ANSES5,NA,Androsace septentrionalis L. ssp. subumbellata (A. Nelson) G.T. Robbins,pygmyflower rockjasmine,forb
ANBR4,NA,Androstephium breviflorum S. Watson,pink funnel lily,forb
ANCA8,NA,Anemone canadensis L.,Canadian anemone,forb
ANCY,NA,Anemone cylindrica A. Gray,candle anemone,forb
ANMU,NA,Anemone multifida Poir.,Pacific anemone,forb
ANMUM3,NA,Anemone multifida Poir. var. multifida,Pacific anemone,forb
ANMUS,NA,Anemone multifida Poir. var. saxicola B. Boivin,red windflower,forb
ANNA,NA,Anemone narcissiflora L.,narcissus anemone,forb
ANNAZ2,NA,Anemone narcissiflora L. var. zephyra (A. Nelson) Dutton & Keener,narcissus anemone,forb
ANPA,NA,Anemone parviflora Michx.,smallflowered anemone,forb
ANPAP2,NA,Anemone parviflora Michx. var. parviflora,smallflowered anemone,forb
ANVI3,NA,Anemone virginiana L.,tall thimbleweed,forb
ANVIV2,NA,Anemone virginiana L. var. virginiana,tall thimbleweed,forb
ANCA10,NA,Anemopsis californica (Nutt.) Hook. & Arn.,yerba mansa,forb
ANGR2,NA,Anethum graveolens L.,dill,forb
ANAM,NA,Angelica ampla A. Nelson,giant angelica,forb
ANGR3,NA,Angelica grayi (J.M. Coult. & Rose) J.M. Coult. & Rose,Gray's angelica,forb
ANPI2,NA,Angelica pinnata S. Watson,small-leaf angelica,forb
ANRO,NA,Angelica roseana L.F. Hend.,rose angelica,forb
ANCR2,NA,Anoda cristata (L.) Schltdl.,crested anoda,forb
ANAN2,NA,Antennaria anaphaloides Rydb.,pearly pussytoes,forb
ANCO,NA,Antennaria corymbosa E.E. Nelson,flat-top pussytoes,forb
ANDI2,NA,Antennaria dimorpha (Nutt.) Torr. & A. Gray,low pussytoes,forb
ANHO,NA,Antennaria howellii Greene,Howell's pussytoes,forb
ANHON,NA,Antennaria howellii Greene ssp. neodioica (Greene) Bayer,Howell's pussytoes,forb
ANLU2,NA,Antennaria luzuloides Torr. & A. Gray,rush pussytoes,forb
ANLUL,NA,Antennaria luzuloides Torr. & A. Gray ssp. luzuloides,rush pussytoes,forb
ANMA5,NA,Antennaria marginata Greene,whitemargin pussytoes,forb
ANME2,NA,Antennaria media Greene,Rocky Mountain pussytoes,forb
ANMI3,NA,Antennaria microphylla Rydb.,littleleaf pussytoes,forb
ANNE,NA,Antennaria neglecta Greene,field pussytoes,forb
ANPA4,NA,Antennaria parvifolia Nutt.,small-leaf pussytoes,forb
ANPU,NA,Antennaria pulcherrima (Hook.) Greene,showy pussytoes,forb
ANPUP,NA,Antennaria pulcherrima (Hook.) Greene ssp. pulcherrima,handsome pussy-toes,forb
ANRO2,NA,Antennaria rosea Greene,rosy pussytoes,forb
ANROA,NA,Antennaria rosea Greene ssp. arida (E.E. Nelson) Bayer,rosy pussytoes,forb
ANROC,NA,Antennaria rosea Greene ssp. confinis (Greene) Bayer,rosy pussytoes,forb
